WigleWifi-1.4,appRelease=2.38,model=Redmi Note 4,release=6.0,device=nikel,display=MRA58K,board=unknown,brand=Xiaomi
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
8c:0c:90:2e:0e:58,Ariel_University,[ESS],2018-11-29 17:21:03,11,-89,32.1056783333333,35.205145,636.5,3,WIFI
f0:b0:52:3e:d9:b8,Ariel_University,[ESS],2018-11-29 17:21:03,11,-89,32.1056783333333,35.205145,636.5,3,WIFI
e0:10:7f:1a:99:f8,Ariel_University,[ESS],2018-11-29 17:21:08,1,-64,32.10566,35.205185,636.4,3.20000004768372,WIFI
8c:0c:90:2f:ca:58,Ariel_University,[ESS],2018-11-29 17:21:08,1,-71,32.10566,35.205185,636.4,3.20000004768372,WIFI
34:fa:9f:13:de:bc,Ariel_University,[ESS],2018-11-29 17:21:08,36,-89,32.10566,35.205185,636.4,3.20000004768372,WIFI
8c:0c:90:2f:cb:e8,Ariel_University,[ESS],2018-11-29 17:21:08,11,-92,32.10566,35.205185,636.4,3.20000004768372,WIFI
e0:10:7f:1a:99:f8,Ariel_University,[ESS],2018-11-29 17:21:15,1,-55,32.1056133333333,35.20525,636.2,3.20000004768372,WIFI
e0:10:7f:1e:55:48,Ariel_University,[ESS],2018-11-29 17:21:15,11,-73,32.1056133333333,35.20525,636.2,3.20000004768372,WIFI
34:fa:9f:13:de:bc,Ariel_University,[ESS],2018-11-29 17:21:15,36,-84,32.1056133333333,35.20525,636.2,3.20000004768372,WIFI
24:c9:a1:36:2a:68,Ariel_University,[ESS],2018-11-29 17:21:15,6,-79,32.1056133333333,35.20525,636.2,3.20000004768372,WIFI
e0:10:7f:09:99:48,Ariel_University,[ESS],2018-11-29 17:21:20,6,-76,32.105585,35.20529,635.3,3.20000004768372,WIFI
24:c9:a1:15:7c:18,Ariel_University,[ESS],2018-11-29 17:21:20,11,-72,32.105585,35.20529,635.3,3.20000004768372,WIFI
8c:0c:90:2f:36:48,Ariel_University,[ESS],2018-11-29 17:21:20,11,-73,32.105585,35.20529,635.3,3.20000004768372,WIFI
8c:0c:90:2e:0e:58,Ariel_University,[ESS],2018-11-29 17:21:20,11,-83,32.105585,35.20529,635.3,3.20000004768372,WIFI
14:ae:db:ce:f4:6d,Mazor,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-11-29 17:21:20,11,-82,32.105585,35.20529,635.3,3.20000004768372,WIFI
8c:0c:90:2d:79:78,Ariel_University,[ESS],2018-11-29 17:21:20,1,-75,32.105585,35.20529,635.3,3.20000004768372,WIFI
34:fa:9f:13:de:b8,Ariel_University,[ESS],2018-11-29 17:21:20,11,-78,32.105585,35.20529,635.3,3.20000004768372,WIFI
8c:0c:90:2d:7a:58,Ariel_University,[ESS],2018-11-29 17:21:20,6,-85,32.105585,35.20529,635.3,3.20000004768372,WIFI
8c:0c:90:2e:19:08,Ariel_University,[ESS],2018-11-29 17:21:20,6,-89,32.105585,35.20529,635.3,3.20000004768372,WIFI
34:fa:9f:14:a3:ac,Ariel_University,[ESS],2018-11-29 17:21:20,36,-92,32.105585,35.20529,635.3,3.20000004768372,WIFI
f0:3e:90:04:d2:a8,Ariel_University,[ESS],2018-11-29 17:21:20,11,-91,32.105585,35.20529,635.3,3.20000004768372,WIFI
e0:10:7f:1a:99:f8,Ariel_University,[ESS],2018-11-29 17:21:26,1,-47,32.1055783333333,35.2052883333333,633.3,3.20000004768372,WIFI
24:c9:a1:15:7c:18,Ariel_University,[ESS],2018-11-29 17:21:26,11,-65,32.1055783333333,35.2052883333333,633.3,3.20000004768372,WIFI
